year,gu,area,fire_freq
2019,종로구,1.0,1
2020,종로구,0.0,2
2021,종로구,10.0,1
2022,종로구,29.0,2
2023,종로구,60010.0,3
2019,중구,46.0,2
2020,중구,0.0,0
2021,중구,0.0,0
2022,중구,0.0,0
2023,중구,0.0,0
2019,용산구,0.0,0
2020,용산구,0.0,0
2021,용산구,0.0,0
2022,용산구,4.0,3
2023,용산구,0.0,0
2019,성동구,0.0,0
2020,성동구,0.0,0
2021,성동구,231.0,4
2022,성동구,0.0,0
2023,성동구,0.0,0
2019,광진구,90.0,1
2020,광진구,80.0,2
2021,광진구,0.0,0
2022,광진구,0.0,0
2023,광진구,0.0,0
2019,동대문구,0.0,0
2020,동대문구,300.0,2
2021,동대문구,9.0,1
2022,동대문구,0.0,1
2023,동대문구,0.0,0
2019,중랑구,31.0,2
2020,중랑구,0.0,0
2021,중랑구,40.0,2
2022,중랑구,457.0,2
2023,중랑구,0.0,0
2019,성북구,20.0,1
2020,성북구,460.0,3
2021,성북구,0.0,0
2022,성북구,147.0,2
2023,성북구,0.0,0
2019,강북구,457.0,4
2020,강북구,0.0,0
2021,강북구,0.0,0
2022,강북구,170.0,1
2023,강북구,0.0,0
2019,도봉구,990.0,1
2020,도봉구,269.0,6
2021,도봉구,0.0,0
2022,도봉구,26.0,1
2023,도봉구,220.0,3
2019,노원구,1000.0,1
2020,노원구,4054.0,4
2021,노원구,330.0,1
2022,노원구,6230.0,3
2023,노원구,3.0,1
2019,은평구,160.0,3
2020,은평구,5020.0,5
2021,은평구,0.0,0
2022,은평구,3006.0,2
2023,은평구,0.0,0
2019,서대문구,0.0,0
2020,서대문구,0.0,0
2021,서대문구,50.0,1
2022,서대문구,0.0,0
2023,서대문구,0.0,0
2019,마포구,380.0,3
2020,마포구,800.0,2
2021,마포구,0.0,0
2022,마포구,0.0,1
2023,마포구,100.0,1
2019,양천구,0.0,0
2020,양천구,0.0,0
2021,양천구,0.0,0
2022,양천구,55.0,2
2023,양천구,0.0,0
2019,강서구,390.0,3
2020,강서구,33.0,1
2021,강서구,10.0,1
2022,강서구,0.0,0
2023,강서구,30.0,2
2019,구로구,200.0,3
2020,구로구,0.0,0
2021,구로구,0.0,0
2022,구로구,0.0,0
2023,구로구,0.0,0
2019,금천구,0.0,1
2020,금천구,0.0,0
2021,금천구,0.0,0
2022,금천구,70.0,1
2023,금천구,0.0,1
2019,영등포구,0.0,0
2020,영등포구,0.0,0
2021,영등포구,0.0,1
2022,영등포구,4.0,2
2023,영등포구,50.0,1
2019,동작구,26.0,4
2020,동작구,0.0,0
2021,동작구,0.0,0
2022,동작구,0.0,0
2023,동작구,0.0,0
2019,관악구,0.0,0
2020,관악구,0.0,0
2021,관악구,200.0,1
2022,관악구,420.0,4
2023,관악구,200.0,1
2019,서초구,0.0,1
2020,서초구,0.0,1
2021,서초구,900.0,2
2022,서초구,1000.0,1
2023,서초구,0.0,0
2019,강남구,125.0,2
2020,강남구,0.0,0
2021,강남구,965.0,3
2022,강남구,3.0,1
2023,강남구,20.0,2
2019,송파구,100.0,1
2020,송파구,0.0,0
2021,송파구,0.0,0
2022,송파구,0.0,0
2023,송파구,0.0,0
2019,강동구,370.0,1
2020,강동구,36.0,2
2021,강동구,10.0,1
2022,강동구,2.0,1
2023,강동구,0.0,1
